,city,lat,lng,temp,humidity,cloudiness,wind_spd,country
184,yerbogachen,61.28,108.01,15.58,87.0,35.0,7.18,RU
186,hithadhoo,-0.6,73.08,83.93,73.0,79.0,11.03,MV
187,nador,35.17,-2.93,60.15,93.0,75.0,3.36,MA
189,geraldton,-28.77,114.6,67.14,88.0,40.0,5.82,AU
190,chipinge,-20.19,32.62,60.57,74.0,29.0,5.21,ZW
191,cap malheureux,-19.98,57.61,75.72,83.0,40.0,11.41,MU
192,lebu,-37.62,-73.65,54.84,91.0,51.0,2.13,CL
193,solnechnyy,50.72,136.63,36.86,67.0,92.0,3.02,RU
194,faanui,-16.48,-151.75,82.78,74.0,25.0,10.63,PF
195,raikot,30.65,75.6,69.01,62.0,0.0,4.38,IN
197,peniche,39.36,-9.38,56.57,87.0,1.0,4.0,PT
198,kaitangata,-46.28,169.85,57.0,55.0,82.0,8.01,NZ
199,pasighat,28.07,95.33,69.4,74.0,58.0,2.33,IN
200,airai,-8.93,125.41,68.59,48.0,59.0,3.67,TL
201,aklavik,68.22,-135.01,24.4,79.0,90.0,6.93,CA
202,atar,20.52,-13.05,70.0,24.0,0.0,10.51,MR
203,bengkulu,-3.8,102.27,77.59,83.0,87.0,3.89,ID
204,balingasay,16.36,119.86,82.85,73.0,88.0,12.59,PH
205,husavik,66.04,-17.34,46.4,70.0,75.0,34.45,IS
206,esperance,-33.87,121.9,59.0,93.0,100.0,14.99,AU
207,buraydah,26.33,43.98,64.4,93.0,93.0,13.87,SA
208,guia lopes da laguna,-21.46,-56.11,67.39,63.0,33.0,3.6,BR
209,birjand,32.87,59.22,55.06,40.0,60.0,4.83,IR
210,kenai,60.55,-151.26,46.67,81.0,90.0,10.29,US
211,souillac,-20.52,57.52,76.06,83.0,40.0,11.41,MU
212,flinders,-34.58,150.86,64.63,62.0,49.0,5.01,AU
213,matara,5.95,80.54,78.01,87.0,7.0,4.43,LK
214,athabasca,54.72,-113.29,43.59,50.0,35.0,7.36,CA
215,isangel,-19.55,169.27,80.6,78.0,75.0,6.93,VU
216,east london,-33.02,27.91,69.89,66.0,0.0,18.19,ZA
217,luau,-10.71,22.22,65.28,70.0,89.0,3.71,AO
218,jardim,-21.48,-56.14,67.33,63.0,33.0,3.56,BR
219,vaitape,-16.52,-151.75,83.64,74.0,22.0,10.49,PF
220,tual,-5.67,132.75,84.04,75.0,98.0,8.05,ID
221,ulaangom,49.98,92.07,34.77,49.0,0.0,2.26,MN
222,port-gentil,-0.72,8.78,81.61,85.0,66.0,10.07,GA
223,taoudenni,22.68,-3.98,77.72,53.0,30.0,15.19,ML
224,zastron,-30.3,27.08,52.83,28.0,0.0,3.85,ZA
226,townsville,-19.25,146.8,83.64,83.0,4.0,8.05,AU
227,cockburn town,21.46,-71.14,78.58,82.0,32.0,15.01,TC
228,haverfordwest,51.8,-4.97,50.47,87.0,91.0,4.7,GB
229,malakal,9.53,31.66,84.29,12.0,91.0,4.59,SS
230,marystown,47.17,-55.15,30.4,94.0,3.0,5.64,CA
231,kalmunai,7.42,81.82,81.57,78.0,63.0,5.46,LK
232,canelli,44.72,8.29,52.3,82.0,76.0,4.0,IT
233,bethel,41.37,-73.41,40.05,60.0,75.0,6.93,US
234,ahipara,-35.17,173.17,67.3,74.0,91.0,9.64,NZ
235,vostok,46.49,135.88,51.31,41.0,21.0,4.83,RU
236,celestun,20.87,-90.4,82.96,74.0,30.0,16.84,MX
237,moctezuma,29.8,-109.67,78.42,15.0,0.0,21.41,MX
